date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:33:33	67844/67844	---M--	200	added ('OK')	text/html	etag:%221694356950%22	https://www.nrdc.org/stories/reducing-food-waste-eight-tips-home-cooks	C:/My%20Web%20Sites/manual_4/www.nrdc.org/stories/reducing-food-waste-eight-tips-home-cooks.html	(from )
19:33:34	704/704	---M-Z	200	added ('OK')	text/plain	etag:W/%2264fa3a32-7c8%22	https://www.nrdc.org/robots.txt		(from )
19:33:34	21625/21625	---M-Z	200	added ('OK')	application/javascript	etag:0x8DBAFD91B460945	https://cdn.cookielaw.org/scripttemplates/otSDKStub.js	C:/My%20Web%20Sites/manual_4/cdn.cookielaw.org/scripttemplates/otSDKStub.js	(from https://www.nrdc.org/stories/reducing-food-waste-eight-tips-home-cooks)
19:33:34	348/348	---M-Z	200	added ('OK')	application/javascript	etag:W/%2264fa3b2b-15c%22	https://www.nrdc.org/sites/default/files/google_tag/nrdc_gtm/google_tag.script.js?s0mvxm	C:/My%20Web%20Sites/manual_4/www.nrdc.org/sites/default/files/google_tag/nrdc_gtm/google_tag.script09f5.js	(from https://www.nrdc.org/stories/reducing-food-waste-eight-tips-home-cooks)
19:33:35	753/753	---M--	200	added ('OK')	image/png	etag:%2264fa39f2-2f1%22	https://www.nrdc.org/favicon-180.png	C:/My%20Web%20Sites/manual_4/www.nrdc.org/favicon-180.png	(from https://www.nrdc.org/stories/reducing-food-waste-eight-tips-home-cooks)
19:33:35	7577/7577	---M-Z	200	added ('OK')	text/css	etag:%2264fa3b6c-88c%22	https://www.nrdc.org/sites/default/files/css/css_wZqRiexXDfwljkiw4mhgmOqEwKQNQkW0fZy3QBcowkA.css?delta=0&language=en&theme=nrdc_theme&include=eJxlkFGKxTAIRTdU2iWJiZLIJCZoMqG7nzI_bd8DETzq9aIaRRiZKx8B4w-MdkXf_PTB9ULOm94jqbSA5UmoKQ4Gl6Szbx0Nk2HPfpDNjmW_yT61z1DEM9NTYZ0u60zbr_Dy4z_vtdEsr8sRjSCZ0Cd81t6iYAHPaK_lYIwUbdbwZV2awjA8Xw1rndpSqKzzpc9oMcPl7nqCy-AlxICFbRyiMv4AEBKCkw	C:/My%20Web%20Sites/manual_4/www.nrdc.org/sites/default/files/css/css_wZqRiexXDfwljkiw4mhgmOqEwKQNQkW0fZy3QBcowkA2080.css	(from https://www.nrdc.org/stories/reducing-food-waste-eight-tips-home-cooks)
19:33:35	261101/261101	---M-Z	200	added ('OK')	text/css	etag:%2264fa3b6d-7115%22	https://www.nrdc.org/sites/default/files/css/css_gZ7LewdUCmOnUiGAhn2zxl0CzcN0kbrYOZ72GkZN5WQ.css?delta=1&language=en&theme=nrdc_theme&include=eJxlkFGKxTAIRTdU2iWJiZLIJCZoMqG7nzI_bd8DETzq9aIaRRiZKx8B4w-MdkXf_PTB9ULOm94jqbSA5UmoKQ4Gl6Szbx0Nk2HPfpDNjmW_yT61z1DEM9NTYZ0u60zbr_Dy4z_vtdEsr8sRjSCZ0Cd81t6iYAHPaK_lYIwUbdbwZV2awjA8Xw1rndpSqKzzpc9oMcPl7nqCy-AlxICFbRyiMv4AEBKCkw	C:/My%20Web%20Sites/manual_4/www.nrdc.org/sites/default/files/css/css_gZ7LewdUCmOnUiGAhn2zxl0CzcN0kbrYOZ72GkZN5WQ9887.css	(from https://www.nrdc.org/stories/reducing-food-waste-eight-tips-home-cooks)
19:33:35	98709/98709	---M--	200	added ('OK')	text/html	etag:%221694346612%22	https://www.nrdc.org/stories/what-climate-change	C:/My%20Web%20Sites/manual_4/www.nrdc.org/stories/what-climate-change.html	(from https://www.nrdc.org/stories/reducing-food-waste-eight-tips-home-cooks)
19:33:36	97890/97890	---M--	200	added ('OK')	text/html	etag:%221694341443%22	https://www.nrdc.org/stories/what-are-causes-climate-change	C:/My%20Web%20Sites/manual_4/www.nrdc.org/stories/what-are-causes-climate-change.html	(from https://www.nrdc.org/stories/reducing-food-waste-eight-tips-home-cooks)
19:33:36	112708/112708	---M--	200	added ('OK')	text/html	etag:%221694345142%22	https://www.nrdc.org/stories/what-are-effects-climate-change	C:/My%20Web%20Sites/manual_4/www.nrdc.org/stories/what-are-effects-climate-change.html	(from https://www.nrdc.org/stories/reducing-food-waste-eight-tips-home-cooks)
19:33:36	112238/112238	---M--	200	added ('OK')	text/html	etag:%221694335252%22	https://www.nrdc.org/stories/what-are-solutions-climate-change	C:/My%20Web%20Sites/manual_4/www.nrdc.org/stories/what-are-solutions-climate-change.html	(from https://www.nrdc.org/stories/reducing-food-waste-eight-tips-home-cooks)
19:33:36	84008/84008	---M--	200	added ('OK')	image/jpeg	etag:%22641367bf-14828%22	https://www.nrdc.org/sites/default/files/styles/large_16x9_100/public/media-uploads/personalaction-foodwaste-1207366373.jpg.jpg?h=c3635fa2&itok=0uIqIgzO	C:/My%20Web%20Sites/manual_4/www.nrdc.org/sites/default/files/styles/large_16x9_100/public/media-uploads/personalaction-foodwaste-1207366373.jpg85dd.jpg	(from https://www.nrdc.org/stories/reducing-food-waste-eight-tips-home-cooks)
19:33:37	1362/1362	---M--	200	added ('OK')	image/jpeg	etag:%2264d519d3-552%22	https://www.nrdc.org/sites/default/files/styles/profile_100/public/2023-08/madeline-keating-0122-2-1.jpg.jpg?h=b13ea8c4&itok=l3PlhMQ1	C:/My%20Web%20Sites/manual_4/www.nrdc.org/sites/default/files/styles/profile_100/public/2023-08/madeline-keating-0122-2-1.jpg74d1.jpg	(from https://www.nrdc.org/stories/reducing-food-waste-eight-tips-home-cooks)
19:33:38	67043/67043	---M--	200	added ('OK')	text/html	etag:%221694363617%22	https://www.nrdc.org/stories/composting-way-easier-you-think	C:/My%20Web%20Sites/manual_4/www.nrdc.org/stories/composting-way-easier-you-think.html	(from https://www.nrdc.org/stories/reducing-food-waste-eight-tips-home-cooks)
19:33:38	46801/46801	---M--	200	added ('OK')	image/jpeg	etag:%22641352bd-b6d1%22	https://www.nrdc.org/sites/default/files/styles/medium_16x9_100/public/181120-sustainable-holidayswip.jpg.jpg?h=73accb9b&itok=fxAfmTyb	C:/My%20Web%20Sites/manual_4/www.nrdc.org/sites/default/files/styles/medium_16x9_100/public/181120-sustainable-holidayswip.jpgecc1.jpg	(from https://www.nrdc.org/stories/reducing-food-waste-eight-tips-home-cooks)
19:33:39	68922/68922	---M--	200	added ('OK')	text/html	etag:%221694363619%22	https://www.nrdc.org/stories/10-tips-hosting-wonderful-and-waste-free-holiday	C:/My%20Web%20Sites/manual_4/www.nrdc.org/stories/10-tips-hosting-wonderful-and-waste-free-holiday.html	(from https://www.nrdc.org/stories/reducing-food-waste-eight-tips-home-cooks)
19:33:40	45509/45509	---M--	200	added ('OK')	image/jpeg	etag:%226413568d-b1c5%22	https://www.nrdc.org/sites/default/files/styles/medium_16x9_100/public/media-uploads/nrdc_personalaction_recycle_final.jpg.jpg?h=57024e64&itok=P93DI7ay	C:/My%20Web%20Sites/manual_4/www.nrdc.org/sites/default/files/styles/medium_16x9_100/public/media-uploads/nrdc_personalaction_recycle_final.jpga0b2.jpg	(from https://www.nrdc.org/stories/reducing-food-waste-eight-tips-home-cooks)
19:33:40	69536/69536	---M--	200	added ('OK')	text/html	etag:%221694361097%22	https://www.nrdc.org/stories/reduce-reuse-recycle-most-all-reduce	C:/My%20Web%20Sites/manual_4/www.nrdc.org/stories/reduce-reuse-recycle-most-all-reduce.html	(from https://www.nrdc.org/stories/reducing-food-waste-eight-tips-home-cooks)
19:33:40	31783/31783	---M--	200	added ('OK')	image/jpeg	etag:%22641367c0-7c27%22	https://www.nrdc.org/sites/default/files/styles/medium_16x9_100/public/media-uploads/personalaction_savethefood_2400.jpg.jpg?h=83a1274c&itok=uHAVXRNi	C:/My%20Web%20Sites/manual_4/www.nrdc.org/sites/default/files/styles/medium_16x9_100/public/media-uploads/personalaction_savethefood_2400.jpgfea2.jpg	(from https://www.nrdc.org/stories/reducing-food-waste-eight-tips-home-cooks)
19:33:42	69112/69112	---M--	200	added ('OK')	text/html	etag:%221694363620%22	https://www.nrdc.org/stories/10-easy-tips-meal-planning	C:/My%20Web%20Sites/manual_4/www.nrdc.org/stories/10-easy-tips-meal-planning.html	(from https://www.nrdc.org/stories/reducing-food-waste-eight-tips-home-cooks)
